央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=9a2cd3ff7323192c1bb0fd4c9f8d43f71b7392e5868ef4ddc0d9942588e742f960680d97905661a3dde19cf78184ec103e1fb24fdf1073cb8611b5ab0a129b97db7ded65b6247e1d786173b800bc32b7&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=4d2bef5fb929693f6970c85b5512a70898407f2c92af69f372c7f707cb872aac0e09bbb8a1aed26691a276997920324d03e8e9b772f98b0d104a17a99c339dfe98e1e98509efe9663f10641d&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=b98f77fd89ba36894172f9ab49c38b9e5ac9c832e1d8369207ba98c5d35ec7e5071cf48530d481af632f8ec9c0a19a80ea35eefaab3fb330ce3f5f96b91fadbf0663ed9ea768bbc5a62329d7e881c996&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=74faaf654918af825ac958ab4ba308858e459e9c82fa0f44fec87bd5a65425cd78f0ff3b6300af62dcf4716f28f29fd5f712f45d435a195f91afd5530304ab41cc1632773df2bfffb5a1086c&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=a8378a1a75223a2ce8c8ec16a88714a3fa3e732c5b3208619668fbd2d2e7342149fcc495f2c78caf46556f381a15d3710003bfd8e65e74d0b4ca7888c121b2ebe8bfb5dd99077eb033db909f59b63a4b&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=8dad34edff458ada8e24a40089cf04291ab98b3b4f94fd3d89a5337b0d485dfae8d0b64bce3fae7057c106a0cde30c6c78d3616af8e1dfcd4d5e97f94a91ba3fb9e24ed149bea34b1da41ef6&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=bc373e4fcffdd7f6c7e67111bbb7cc0c64d4ad736d52810ac4a26361fca9cf6938a70bc555cee91383e82e3366510c88f64d34b5bc5e57cb0a7885671ea90e44249cf5cf32b92803a45363b83afb78fa&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=423579792&sign=5e3bb639b24fe4474b7c9cd7049c38e18024899ada5246af74590540b65b9722c55e6adcebfe19bdb6bec06ebc37fe2346d5182ea7883268df52445f8e68fba00153068983be1991ce12adfb&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?userid=423579792&sign=2ecb780e7b16b210fb4f2ccdccee0ff26e09d49112b92b272e14035cb7d05a0ccb30b23aa1fb8096c40b0b844d1c6cbdaeae2fb5bc47201cbec7ed0a9a3e39173ed430ac9716c2126e481ed35b83ecc8&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?userid=423579792&sign=9f5aa2d6e0ee59670778ae465fe399275037f579e24748966d7cc49a59f5a20c4ebc637dcbaaa945d87f1077a9849c16a253ad9c39fa21274984fe31627a78535c248bbd06218b52b2ce2a63e03beda7&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://mgtv.ottiptv.cc/mg/641886683.m3u8?userid=423579792&sign=5d14f01c8e73e24058d30f9e94115d3a389ef3683b34e0a43b17443ce7794c13ce7898f4a1cd42b74b6670154d1820e0939f9b8417242df517b083c480e1ed65ddd60e95372c0db537235a7f98c63300&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv5,https://live.ottiptv.cc/mcp/cctv5.m3u8?userid=423579792&sign=bcd93226f6eb1a48b1370718e944feedbbfb576ebee21a3a00e23226064a3f6927913dc5bdef01f47c4e43be558967d43a86ff38c07c26795bdda486108e16bc10d24aabd0d228069b8702bf&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
